Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,labels
-51.595000000000006,-53.9975,-58.527499999999996,-53.586666666666666,-55.45,-57.5125,-55.705,4
-58.6025,-59.459999999999994,-61.34,-60.74,-61.144999999999996,-60.0125,-60.54,0
-55.02,-58.8675,-61.592499999999994,-54.79333333333333,-58.445,-60.7175,-60.255,0
-55.515,-58.3075,-61.3275,-53.47,-60.235,-61.552499999999995,-60.325,0
-51.550000000000004,-52.625,-60.8825,-53.64000000000001,-55.0625,-58.510000000000005,-56.535,4
-53.46750000000001,-56.315,-60.7675,-52.419999999999995,-58.285,-60.1725,-58.94,0
-64.33250000000001,-68.015,-72.8125,-63.63,-69.375,-74.0,-71.41999999999999,5
-76.775,-76.015,-70.33,-80.48,-75.4875,-71.88499999999999,-74.01499999999999,2
-79.7875,-81.3175,-82.4525,-79.53333333333333,-82.4975,-82.81,-83.365,7
-52.075,-51.61,-58.7875,-55.13333333333333,-53.7025,-57.3275,-56.150000000000006,4
-58.9825,-59.95249999999999,-63.1725,-60.44333333333333,-61.895,-61.495,-61.650000000000006,0
-55.972500000000004,-60.0925,-67.00750000000001,-56.76666666666667,-61.92,-66.4725,-63.230000000000004,0
-64.2325,-62.495,-58.2225,-66.53333333333335,-59.285,-56.302499999999995,-56.665,6
-70.4925,-67.845,-60.81,-74.28333333333332,-65.27,-62.17,-63.335,1
-64.73499999999999,-64.9925,-68.475,-67.81333333333333,-67.2575,-67.45,-67.545,3
-55.6575,-53.8675,-60.379999999999995,-60.083333333333336,-55.480000000000004,-58.555,-57.0,0
-56.11000000000001,-56.875,-60.4925,-57.43666666666667,-59.1875,-59.3975,-59.83,0
-58.185,-56.42999999999999,-58.15,-60.800000000000004,-56.254999999999995,-57.2,-56.754999999999995,4
-57.77499999999999,-59.099999999999994,-58.252500000000005,-58.906666666666666,-60.432500000000005,-58.269999999999996,-59.39,0
